Gene_stable_ID	Gene_name	Gene_description
PRELSG_14_v1	""	ACC domain-containing protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	cleavage and polyadenylation specificity factor subunit 3%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	plasma membrane protein 1%2C putative
PRELSG_05_v1	""	serine/threonine protein kinase VPS15%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_200	""	tRNA Valine
PRELSG_09_v1	""	heat shock protein 70%2C putative
PRELSG_09_v1	""	CCR4-NOT transcription complex subunit 1%2C putative
PRELSG_00_v1_archived_contig_95	""	tRNA Glycine
PRELSG_00_v1_archived_contig_327	""	fam-h protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	NA mismatch repair protein PMS1%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	Serine/Threonine protein kinase%2C FKK family%2C putative
PRELSG_12_v1	""	kelch domain-containing protein%2C putative
PRELSG_00_v1_archived_contig_302	""	cytoadherence linked asexual protein%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	mitochondrial ribosomal protein S15 precursor%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	erythrocyte membrane-associated antigen%2C putative
PRELSG_08_v1	""	endonuclease/exonuclease/phosphatase family protein%2C putative
PRELSG_13_v1	""	NA-directed RNA polymerases  and  subunit RPAC2%2C putative
PRELSG_00_v1_archived_contig_413	""	fam-h protein
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	fam-h protein
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	splicing factor 3B subunit 1%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	cytidine triphosphate synthetase%2C putative
PRELSG_04_v1	""	5'-3' exonuclease%2C N-terminal resolvase-like domain%2C putative
PRELSG_AP_v1	""	apicoplast ribosomal protein S7%2C putative
PRELSG_01_v1	""	ubiquitin regulatory protein%2C putative
PRELSG_10_v1	""	tRNA Glutamic acid
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	6-cysteine protein%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	trafficking protein particle complex subunit 5%2C putative
PRELSG_00_v1_archived_contig_95	""	26S proteasome regulatory subunit RPN11%2C putative
PRELSG_00_v1_archived_contig_121	""	MSP3-like protein%2C putative
PRELSG_12_v1	""	shewanella-like protein phosphatase 1%2C putative
PRELSG_05_v1	""	RNA-binding protein%2C putative
PRELSG_11_v1	""	JmjC domain-containing protein%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	calcium-dependent protein kinase 3%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	6-cysteine protein%2C putative
PRELSG_06_v1	""	conserved protein%2C unknown function
PRELSG_06_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	single-strand telomeric NA-binding protein GBP2%2C putative
PRELSG_02_v1	""	centrin-1%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ERA-associated E3 ubiquitin-protein ligase HR1%2C putative
PRELSG_11_v1	""	palmitoyltransferase HHC2%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	hypothetical protein
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	glideosome associated protein with multiple membrane spans 3%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	NE8-activating enzyme E1 catalytic subunit%2C putative
PRELSG_09_v1	""	-tyrosyl-tRNA(Tyr) deacylase%2C putative
PRELSG_08_v1	""	elongation factor 1-delta%2C putative
PRELSG_08_v1	""	survival motor neuron-like protein%2C putative
PRELSG_10_v1	""	SURF1 domain-containing protein%2C putative
PRELSG_12_v1	""	transcriptional regulatory protein sir2b%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	HSP40%2C subfamily A%2C putative
PRELSG_12_v1	""	ABC transporter B family member 5%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	palmitoyltransferase HHC9%2C putative
PRELSG_09_v1	""	W repeat-containing protein WRAP73%2C putative
PRELSG_10_v1	""	secreted ookinete protein%2C putative
PRELSG_11_v1	""	GAS8-like protein%2C putative
PRELSG_09_v1	""	WS1-like protein%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	thymidylate kinase%2C putative
PRELSG_00_v1_archived_contig_333	""	hypothetical protein
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	lysine decarboxylase%2C putative
PRELSG_05_v1	""	RNG zinc finger protein%2C putative
PRELSG_12_v1	""	mitochondrial inner membrane protease ATP23%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	tRNA (guanine-N(7)-)-methyltransferase%2C putative
PRELSG_01_v1	""	tRNA Histidine
PRELSG_03_v1	""	dipeptidyl aminopeptidase 3%2C putative
PRELSG_10_v1	""	stearoyl-CoA desaturase%2C putative
PRELSG_13_v1	""	mini-chromosome maintenance complex-binding protein%2C putative
PRELSG_00_v1_archived_contig_95	""	U2 small nuclear ribonucleoprotein A'%2C putative
PRELSG_13_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_14_v1	""	Maf-like protein%2C putative
PRELSG_14_v1	""	26S protease regulatory subunit 10B%2C putative
PRELSG_14_v1	""	thioredoxin-like associated protein 1%2C putative
PRELSG_12_v1	""	GTPase-activating protein%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	pre-mRNA-splicing factor 18%2C putative
PRELSG_13_v1	""	ribosome maturation protein SBS%2C putative
PRELSG_14_v1	""	trypsin-like serine protease%2C putative
PRELSG_08_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_12_v1	""	conserved protein%2C unknown function
PRELSG_02_v1	""	dynein heavy chain%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ubiquitin conjugation factor E4 B%2C putative
PRELSG_00_v1_archived_contig_297	""	hypothetical protein
PRELSG_08_v1	""	microtubule-associated protein RP/EB family%2C putative
PRELSG_05_v1	""	small GTP-binding protein sar1%2C putative
PRELSG_14_v1	""	pre-mRNA-splicing regulator%2C putative
PRELSG_00_v1_archived_contig_417	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_13	""	Plasmodium exported protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	liver specific protein 1%2C putative
PRELSG_00_v1_archived_contig_323	""	fam-f protein
PRELSG_00_v1_archived_contig_95	""	mitochondrial carrier protein%2C putative
PRELSG_10_v1	""	inner membrane complex protein%2C putative
PRELSG_00_v1_archived_contig_56	""	hypothetical protein
PRELSG_13_v1	""	voltage-dependent anion-selective channel protein%2C putative
PRELSG_11_v1	""	ER lumen protein retaining receptor%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_332	""	reticulocyte binding protein%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function%2C pseudogene
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	eukaryotic translation initiation factor 2 subunit beta%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	dynein light chain%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	14-3-3 protein%2C putative
PRELSG_14_v1	""	small heat shock protein%2C putative
PRELSG_07_v1	""	protein phosphatase-beta%2C putative
PRELSG_07_v1	""	RNA-binding protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	tRNA wybutosine-synthesizing protein%2C putative
PRELSG_09_v1	""	threonine--tRNA ligase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	NA-directed RNA polymerase subunit alpha%2C putative
PRELSG_09_v1	""	protein kinase%2C putative
PRELSG_05_v1	""	RNA-binding protein%2C putative
PRELSG_14_v1	""	deoxyhypusine hydroxylase%2C putative
PRELSG_09_v1	""	ATP-dependent zinc metalloprotease FTSH%2C putative
PRELSG_12_v1	""	U1 snRNP-associated protein%2C putative
PRELSG_09_v1	""	rhoptry neck protein 4%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	6-cysteine protein%2C putative
PRELSG_03_v1	""	ag-1 blood stage membrane protein homologue%2C putative
PRELSG_10_v1	""	anaphase promoting complex subunit%2C putative
PRELSG_00_v1_archived_contig_54	""	hypothetical protein
PRELSG_12_v1	""	conserved protein%2C unknown function
PRELSG_00_v1_archived_contig_54	""	early transcribed membrane protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	HSP20-like chaperone%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	transcription initiation TF-like%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	armadillo repeat protein%2C putative
PRELSG_06_v1	""	nucleolar preribosomal assembly protein%2C putative
PRELSG_05_v1	""	asparagine-rich protein%2C putative
PRELSG_09_v1	""	mechanosensitive ion channel protein%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	PQ-loop repeat-containing protein
PRELSG_02_v1	""	actin-like protein%2C putative
PRELSG_00_v1_archived_contig_364	""	hypothetical protein
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	kinesin-8%2C putative
PRELSG_02_v1	""	alpha/beta hydrolase%2C putative
PRELSG_07_v1	""	peptide chain release factor 1%2C putative
PRELSG_12_v1	""	large ribosomal subunit nuclear export factor%2C putative
PRELSG_12_v1	""	pre-rRNA-processing protein PNO1%2C putative
PRELSG_11_v1	""	NA topoisomerase V%2C b subunit%2C putative
PRELSG_09_v1	""	calcium/calmodulin-dependent protein kinase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	COP associated protein%2C putative
PRELSG_10_v1	""	AP2 domain transcription factor%2C putative
PRELSG_11_v1	""	NA replication licensing factor MCM6%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	exportin-T%2C putative
PRELSG_11_v1	""	transmembrane protein 234%2C putative
PRELSG_12_v1	""	thioredoxin-related protein%2C putative
PRELSG_11_v1	""	RNA-binding protein 25%2C putative
PRELSG_11_v1	""	histone H2A%2C putative
PRELSG_01_v1	""	centrin%2C putative
PRELSG_13_v1	""	nuclear transport factor 2%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	nucleic acid binding protein%2C putative
PRELSG_08_v1	""	CCR4-NOT transcription complex subunit 5%2C putative
PRELSG_12_v1	""	copper transporter%2C putative
PRELSG_10_v1	""	18S rRNA (guanine-N(7))-methyltransferase%2C putative
PRELSG_13_v1	""	lysine--tRNA ligase%2C putative
PRELSG_09_v1	""	tRNA-splicing ligase RtcB%2C putative
PRELSG_00_v1_archived_contig_363	""	Plasmodium exported protein%2C unknown function
PRELSG_03_v1	""	6-cysteine protein%2C putative
PRELSG_08_v1	""	26S proteasome regulatory subunit RPN12%2C putative
PRELSG_13_v1	""	conserved protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	chromatin remodeling protein%2C putative
PRELSG_04_v1	""	pseudouridine synthase%2C putative
PRELSG_00_v1_archived_contig_155	""	fam-h protein
PRELSG_14_v1	""	40S ribosomal protein S7%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	AP endonuclease (NA-[apurinic or apyrimidinic site] lyase)%2C putative
PRELSG_00_v1_archived_contig_52	""	fam-f protein
PRELSG_07_v1	""	cytochrome c oxidase subunit 6B%2C putative
PRELSG_13_v1	""	copper transporter%2C putative
PRELSG_03_v1	""	queuine tRNA-ribosyltransferase%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	translation initiation factor F-2%2C putative
PRELSG_10_v1	""	secreted ookinete protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	Plasmodium RNA of unknown function RUF1
PRELSG_00_v1_archived_contig_93	""	hypothetical protein
PRELSG_99_v2_archived_contig_29	""	fam-h protein
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	guanylyl cyclase beta%2C putative
PRELSG_11_v1	""	diphthine methyltransferase%2C putative
PRELSG_12_v1	""	bax inhibitor 1%2C putative
PRELSG_10_v1	""	tRNA Phenylalanine
PRELSG_13_v1	""	NA(P)H-dependent glutamate synthase%2C putative
PRELSG_12_v1	""	polyprenol reductase%2C putative
PRELSG_06_v1	""	hypothetical protein
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	bacterial histone-like protein%2C putative
PRELSG_08_v1	""	UP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase%2C putative
PRELSG_02_v1	""	calcium-transporting ATPase%2C putative
PRELSG_09_v1	""	ribosome assembly protein 4%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	deoxyribose-phosphate aldolase%2C putative
PRELSG_10_v1	""	pre-mRNA-processing ATP-dependent RNA helicase PRP5%2C putative
PRELSG_00_v1_archived_contig_146	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_07_v1	""	protein kinase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	40S ribosomal protein S19%2C putative
PRELSG_12_v1	""	mitochondrial ribosomal protein S11 precursor%2C putative
PRELSG_08_v1	""	GP-L-fucose synthase%2C putative
PRELSG_AP_v1	""	tRNA Tryptophan
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_297	""	KELT protein
PRELSG_00_v1_archived_contig_274	""	fam-h protein
PRELSG_01_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_11_v1	""	aminomethyltransferase%2C mitochondrial%2C putative
PRELSG_09_v1	""	GTP-binding nuclear protein RAN/TC4%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	merozoite surface protein 8%2C putative
PRELSG_08_v1	""	NA replication complex GNS protein%2C putative
PRELSG_12_v1	""	cytidine and deoxycytidylate deaminase%2C putative
PRELSG_09_v1	""	unspecified product
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	phosphatase 2A regulatory subunit-related protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	protein phosphatase PPM11%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	NA polymerase epsilon subunit B%2C putative
PRELSG_13_v1	""	X domain-containing protein%2C putative
PRELSG_13_v1	""	H/ACA ribonucleoprotein complex subunit 4%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	lysine--tRNA ligase%2C putative
PRELSG_07_v1	""	coatomer subunit beta%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	insulinase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	20 ka chaperonin%2C putative
PRELSG_05_v1	""	glutamyl-tRNA(Gln) amidotransferase subunit A%2C putative
PRELSG_03_v1	""	protein SOF1%2C putative
PRELSG_11_v1	""	cyclin dependent kinase binding protein%2C putative
PRELSG_07_v1	""	N-glycosylase/NA lyase%2C putative
PRELSG_03_v1	""	peptide chain release factor 2%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	dynactin subunit 5%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	hypothetical protein
PRELSG_09_v1	""	NA-directed RNA polymerase  subunit RPC8%2C putative
PRELSG_00_v1_archived_contig_274	""	Plasmodium exported protein%2C unknown function
PRELSG_12_v1	""	conserved Apicomplexan protein%2C unknown function
PRELSG_12_v1	""	potassium channel K2%2C putative
PRELSG_11_v1	""	tRNA Serine
PRELSG_13_v1	""	selenoprotein%2C putative
PRELSG_13_v1	""	dicarboxylate/tricarboxylate carrier%2C putative
PRELSG_14_v1	""	conserved protein%2C unknown function
PRELSG_14_v1	""	coronin%2C putative
PRELSG_03_v1	""	dynein heavy chain%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	glycerol-3-phosphate 1-O-acyltransferase%2C putative
PRELSG_07_v1	""	gamma-glutamylcysteine synthetase%2C putative
PRELSG_06_v1	""	Sec1 family protein%2C putative
PRELSG_08_v1	""	small subunit rRNA synthesis-associated protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	AP-4 complex subunit epsilon%2C putative
PRELSG_01_v1	""	fam-f protein
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	OST-HTH associated domain protein%2C putative
PRELSG_09_v1	""	palmitoyltransferase HHC3%2C putative
PRELSG_00_v1_archived_contig_64	""	fam-h protein
PRELSG_14_v1	""	RNA-binding protein%2C putative
PRELSG_07_v1	""	merozoite surface protein 1 paralog%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	aminodeoxychorismate lyase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	early transcribed membrane protein
PRELSG_07_v1	""	G2 protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	phosphatase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	NA-directed RNA polymerase  subunit RPC1%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	protein disulfide-isomerase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	chromodomain-helicase-NA-binding protein 1%2C putative
PRELSG_14_v1	""	sun-family protein%2C putative
PRELSG_14_v1	""	naJ protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	hexokinase%2C putative
PRELSG_14_v1	""	mitogen-activated protein kinase phosphatase 1%2C putative
PRELSG_12_v1	""	inner membrane complex suture component%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	leucine-rich repeat protein
PRELSG_08_v1	""	60S ribosomal protein L7%2C putative
PRELSG_14_v1	""	ubiquitin-activating enzyme E1%2C putative
PRELSG_13_v1	""	cGMP-specific phosphodiesterase%2C putative
PRELSG_10_v1	""	ras-related protein Rab-1B%2C putative
PRELSG_12_v1	""	nucleoside transporter 3%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	GTPase-activating protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_393	""	hypothetical protein
PRELSG_00_v1_archived_contig_62	""	Plasmodium exported protein%2C unknown function
PRELSG_12_v1	""	RanBPM and CLTH-like protein%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_99_v2_archived_contig_1	""	hypothetical protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	CSC1-like protein%2C putative
PRELSG_00_v1_archived_contig_107	""	hypothetical protein
PRELSG_03_v1	""	RNA-binding protein%2C putative
PRELSG_14_v1	""	zinc finger protein%2C putative
PRELSG_06_v1	""	plasmepsin V%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	thioredoxin reductase%2C putative
PRELSG_07_v1	""	pyridoxal 5'-phosphate dependent enzyme class %2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	naJ protein%2C putative
PRELSG_07_v1	""	NA repair protein REV1%2C putative
PRELSG_00_v1_archived_contig_261	""	fam-h protein
PRELSG_09_v1	""	conserved Apicomplexan protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	RNG zinc finger protein%2C putative
PRELSG_10_v1	""	subtilisin-like protease 3%2C putative
PRELSG_10_v1	""	histone RNA hairpin-binding protein%2C putative
PRELSG_08_v1	""	metalloprotease%2C putative
PRELSG_12_v1	""	protein kinase%2C putative
PRELSG_13_v1	""	conserved protein%2C unknown function
PRELSG_12_v1	""	NA-3-methyladenine glycosylase%2C putative
PRELSG_12_v1	""	acetyl-CoA carboxylase%2C putative
PRELSG_00_v1_archived_contig_297	""	Plasmodium exported protein%2C unknown function
PRELSG_08_v1	""	AP/ATP carrier protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	ER membrane protein complex subunit 1%2C putative
PRELSG_13_v1	""	40S ribosomal protein S8e%2C putative
PRELSG_12_v1	""	tetratricopeptide repeat protein%2C putative
PRELSG_04_v1	""	small nucleolar RNA snoR01
PRELSG_03_v1	""	mitochondrial carrier protein%2C putative
PRELSG_00_v1_archived_contig_270	""	Plasmodium exported protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	small ubiquitin-related modifier%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	AP2 domain transcription factor AP2Tel%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	leucine-rich repeat protein%2C putative
PRELSG_09_v1	""	ATP synthase subunit delta%2C mitochondrial%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	citrate synthase%2C mitochondrial%2C putative
PRELSG_07_v1	""	UBX domain%2C putative
PRELSG_02_v1	""	MP1-like protein%2C putative
PRELSG_14_v1	""	helicase%2C putative
PRELSG_01_v1	""	tRNA m5C-methyltransferase%2C putative
PRELSG_06_v1	""	NA polymerase zeta catalytic subunit%2C putative
PRELSG_12_v1	""	inner membrane complex sub-compartment protein 3%2C putative
PRELSG_14_v1	""	NL interacting factor-like phosphatase%2C putative
PRELSG_02_v1	""	ubiquitin carboxyl-terminal hydrolase%2C putative
PRELSG_07_v1	""	50S ribosomal protein L3%2C apicoplast%2C putative
PRELSG_14_v1	""	glideosome-associated protein 45%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	splicing factor 3A subunit 3%2C putative
PRELSG_11_v1	""	amino acid transporter AAT1%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	dynein intermediate chain%2C putative
PRELSG_14_v1	""	2-oxoisovalerate dehydrogenase subunit alpha%2C mitochondrial%2C putative
PRELSG_09_v1	""	CPW-WPC family protein
PRELSG_13_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_12_v1	""	TBC domain protein%2C putative
PRELSG_14_v1	""	ATP-dependent RNA helicase HR1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	Plasmodium exported protein%2C unknown function
PRELSG_14_v1	""	tRNA Serine
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	oocyst capsule protein Cap380%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	glycerol kinase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	ubiquitin specific protease%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	single-stranded NA-binding protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_13_v1	""	magnesium transporter%2C putative
PRELSG_13_v1	""	40S ribosomal protein S25%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	nucleic acid binding protein%2C putative
